"tract","Name","Employment_Rate_rP_gP_pall"
25017368901,"North Waltham, Waltham, MA",0.8087
25009203200,"Marblehead, MA",0.8087
25017350400,"Powder House Square, Somerville, MA",0.8086
33015062500,"Kensington, NH",0.8085
25017358400,"Lexington, MA",0.8085
25017339802,"Medford, MA",0.8083
33015106102,"Windham, NH",0.8083
25017368102,"Piety Corner, Waltham, MA",0.8082
25017362100,"Carlisle, MA",0.8082
25017311600,"Highlands, Lowell, MA",0.8082
25017338100,"Winchester, MA",0.8081
25017341600,"Malden, MA",0.8076
25025050901,"Eagle Hill, Boston, MA",0.8073
25017310200,"Centralville, Lowell, MA",0.8072
25009269100,"Newbury, MA",0.8071
25017315403,"South Tewksbury, Tewksbury, MA",0.807
25009212100,"Middleton, MA",0.8069
25017330200,"North Reading, MA",0.8068
25009201100,"Nahant, MA",0.8068
25017331101,"Wilmington, MA",0.8064
25017315500,"Tewksbury, MA",0.8059
33015102100,"Newton, NH",0.8058
25009213100,"Boxford, MA",0.8056
25009205400,"Lynn, MA",0.8046
25017341800,"Malden, MA",0.8035
33015105100,"Kingston, NH",0.8031
25017312200,"South Lowell, Lowell, MA",0.8029
33015104101,"East Hampstead, Hampstead, NH",0.8023
25009208200,"Saugus, MA",0.8019
25017315401,"Tewksbury, MA",0.8018
25009252400,"Methuen, MA",0.8015
33015003500,"Derry, Derry, NH",0.8009
25009215102,"South Hamilton, Hamilton, MA",0.8006
25009260700,"Haverhill, MA",0.8003
25017367100,"Weston, MA",0.8003
25009208400,"Saugus, MA",0.8
25017368300,"Banks Square, Waltham, MA",0.7996
25017342500,"Everett, MA",0.7994
25017356702,"Arlington, MA",0.7993
33015101100,"Plaistow, NH",0.799
25009251200,"Lawrence, MA",0.7988
25017350800,"Teele Square, Somerville, MA",0.7988
25017340000,"Medford, MA",0.7986
25017358500,"Lexington, MA",0.7983
25009208101,"Saugus, MA",0.7981
25017312400,"Belvidere, Lowell, MA",0.798
25017311700,"Highlands, Lowell, MA",0.7979
25017341400,"Malden, MA",0.7977
25017341200,"Malden, MA",0.7977
33015003400,"Derry, Derry, NH",0.7977
25017366201,"Wayland, MA",0.7976
25009215101,"South Hamilton, Hamilton, MA",0.7975
25009251500,"Lawrence, MA",0.7974
25009250700,"Lawrence, MA",0.7971
25017342201,"Everett, MA",0.7965
25009206400,"Lynn, MA",0.7962
25009217500,"Beverly, MA",0.7959
25017333300,"Woburn, MA",0.7956
25017310700,"The Acre, Lowell, MA",0.7956
25009206500,"Lynn, MA",0.7956
25009220101,"Rockport, Rockport, MA",0.795
25009268200,"Newburyport, MA",0.795
33015100100,"Salem, NH",0.7948
25017350104,"Somerville, MA",0.7948
25017354900,"North Cambridge, Cambridge, MA",0.7947
25009210800,"Peabody, MA",0.7942
25017316500,"North Billerica, Billerica, MA",0.7939
25009204600,"Salem, MA",0.7937
25017353600,"Agassiz, Cambridge, MA",0.7932
25017336401,"Melrose, MA",0.793
25017354600,"Neighborhood Nine, Cambridge, MA",0.793
25017339700,"South Medford, Medford, MA",0.793
25017310300,"Centralville, Lowell, MA",0.7928
25017311300,"Highlands, Lowell, MA",0.7927
25025050101,"Eagle Hill, Boston, MA",0.7924
25009270100,"Rowley, MA",0.7922
25017356300,"Arlington, MA",0.7922
25009218100,"Manchester-by-the-Sea, MA",0.7921
25009221902,"Gloucester, MA",0.7916
25017358700,"Lexington, MA",0.7914
25009260301,"Haverhill, MA",0.791
25009250300,"Lawrence, MA",0.7903
25017360200,"Lincoln, MA",0.7903
25025160602,"Chelsea, MA",0.7899
25017337202,"Stoneham, MA",0.7896
25017342102,"Everett, MA",0.7893
25017360100,"Hanscom Air Force Base, MA",0.7892
25009206300,"Lynn, MA",0.789
25017311900,"Back Central, Lowell, MA",0.7886
25009250500,"Lawrence, MA",0.7882
25009260800,"Haverhill, MA",0.7882
25009221400,"Gloucester, MA",0.7876
25009210900,"Peabody, MA",0.7875
25009205900,"Lynn, MA",0.7874
25009222100,"Essex, Essex, MA",0.7872
25009202200,"Swampscott, MA",0.7871
25017312000,"Back Central, Lowell, MA",0.7867
25009217300,"Beverly, MA",0.7859
25017338200,"Winchester, MA",0.7857
25009250800,"Lawrence, MA",0.785
25017311800,"Highlands, Lowell, MA",0.7846
25009251600,"Lawrence, MA",0.7844
25009267102,"Salisbury, MA",0.7844
25025160601,"Chelsea, MA",0.7841
25009206800,"Lynn, MA",0.7837
25025160101,"Chelsea, MA",0.7825
25009268300,"Newburyport, MA",0.7824
25009251700,"Lawrence, MA",0.7823
25017357800,"Belmont, MA",0.7823
25025170702,"Revere, MA",0.782
25009251100,"Lawrence, MA",0.7818
25017356601,"Arlington, MA",0.7818
25017341902,"Malden, MA",0.7817
25017311200,"Highlands, Lowell, MA",0.7812
25009205600,"Lynn, MA",0.7809
25017388300,"The Acre, Lowell, MA",0.7806
25009260600,"Haverhill, MA",0.7801
25017310100,"Downtown, Lowell, MA",0.78
25025170300,"Revere, MA",0.7794
25009221300,"Gloucester, MA",0.7792
25009207100,"Lynn, MA",0.7779
25025170502,"Revere, MA",0.7777
25017356701,"Arlington, MA",0.7768
25017311100,"The Acre, Lowell, MA",0.7767
25009252300,"Methuen, MA",0.7765
25009266100,"Amesbury, MA",0.7761
25017357600,"Belmont, MA",0.7761
25009203301,"Marblehead, MA",0.7756
25025160501,"Chelsea, MA",0.7753
25017361100,"Concord, MA",0.7742
25017351100,"Spring Hill, Somerville, MA",0.7738
25009251000,"Lawrence, MA",0.7738
25017351000,"Spring Hill, Somerville, MA",0.7738
25009250600,"Lawrence, MA",0.7732
25017350600,"Tufts, Somerville, MA",0.7725
25017361300,"Concord, MA",0.772
25017342400,"Everett, MA",0.7718
25017354300,"Strawberry Hill, Cambridge, MA",0.7714
25009261000,"Haverhill, MA",0.7709
25009221800,"Gloucester, MA",0.7708
25017350700,"West Somerville, Somerville, MA",0.7701
25017354800,"North Cambridge, Cambridge, MA",0.7693
25009203302,"Marblehead, MA",0.7686
25025160502,"Chelsea, MA",0.7674
25009204701,"Salem, MA",0.7673
25009221901,"Gloucester, MA",0.7668
25009204400,"Salem, MA",0.7665
25009266200,"Amesbury, MA",0.7644
25009221500,"Gloucester, MA",0.7639
25009217400,"Beverly, MA",0.7636
25009210700,"Peabody, MA",0.7617
25009206200,"Lynn, MA",0.7604
25009206900,"Lynn, MA",0.7602
25009221600,"Gloucester, MA",0.7602
25009251400,"Lawrence, MA",0.7594
25009206000,"Lynn, MA",0.7586
25009250200,"Lawrence, MA",0.7582
25025170400,"Revere, MA",0.7568
25025170501,"Revere, MA",0.7558
25017351403,"East Somerville, Somerville, MA",0.755
25009221100,"Gloucester, MA",0.7544
25009267101,"Salisbury, MA",0.7537
25009202101,"Swampscott, MA",0.7531
25017354400,"West Cambridge, Cambridge, MA",0.7515
25009205500,"Lynn, MA",0.7511
25025160200,"Chelsea, MA",0.7511
25009206100,"Lynn, MA",0.7466
25009251300,"Lawrence, MA",0.7464
25017354700,"North Cambridge, Cambridge, MA",0.7443
25009250900,"Lawrence, MA",0.7428
25009260100,"Haverhill, MA",0.7423
25025040600,"Charlestown, Boston, MA",0.7421
