"tract","Name","Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall"
25025040600,"Charlestown, Boston, MA",0.2685
25017341902,"Malden, MA",0.2682
25009221902,"Gloucester, MA",0.2675
25017350900,"Davis Square, Somerville, MA",0.2657
25009221700,"Gloucester, MA",0.2643
25009252101,"Methuen, MA",0.2616
25017360100,"Hanscom Air Force Base, MA",0.2609
25017339300,"West Medford, Medford, MA",0.2605
25009270100,"Rowley, MA",0.2602
25017368300,"Banks Square, Waltham, MA",0.2599
25017310500,"Pawtucketville, Lowell, MA",0.2583
25009260301,"Haverhill, MA",0.2569
25017355000,"North Cambridge, Cambridge, MA",0.2566
33015003601,"Derry, Derry, NH",0.2553
25017310200,"Centralville, Lowell, MA",0.2544
25009252501,"Methuen, MA",0.2541
25009251800,"Lawrence, MA",0.2536
25017354300,"Strawberry Hill, Cambridge, MA",0.2534
33015105100,"Kingston, NH",0.2534
25009266300,"Amesbury, MA",0.2484
25017339802,"Medford, MA",0.2484
25025170701,"Revere, MA",0.2472
25017350200,"Winter Hill, Somerville, MA",0.247
25017342400,"Everett, MA",0.2462
25017356701,"Arlington, MA",0.2461
25025170601,"Revere, MA",0.2438
25009205700,"Lynn, MA",0.2437
25017341500,"Malden, MA",0.2435
25017311500,"Highlands, Lowell, MA",0.2431
25025170800,"Revere, MA",0.243
25009210700,"Peabody, MA",0.243
25017351403,"East Somerville, Somerville, MA",0.2414
25025170501,"Revere, MA",0.2412
25017342600,"Everett, MA",0.2411
25017341800,"Malden, MA",0.2407
25017354600,"Neighborhood Nine, Cambridge, MA",0.2405
25009206400,"Lynn, MA",0.2399
25017311400,"Highlands, Lowell, MA",0.2393
25017351000,"Spring Hill, Somerville, MA",0.2393
33015102100,"Newton, NH",0.239
25009204400,"Salem, MA",0.2389
25009204200,"Salem, MA",0.2382
25017342201,"Everett, MA",0.2375
25025160602,"Chelsea, MA",0.2366
25025051101,"East Boston, Boston, MA",0.236
25009267102,"Salisbury, MA",0.2343
25017350300,"Magoun Square, Somerville, MA",0.234
25017333300,"Woburn, MA",0.2336
25009204101,"Salem, MA",0.2336
25009204500,"Salem, MA",0.2318
25009252300,"Methuen, MA",0.2302
25009267101,"Salisbury, MA",0.2299
25009260900,"Haverhill, MA",0.2294
25017342102,"Everett, MA",0.2266
25017351300,"Prospect Hill, Somerville, MA",0.2264
25009205200,"Lynn, MA",0.2262
25009217300,"Beverly, MA",0.2231
25017350700,"West Somerville, Somerville, MA",0.2196
25017342300,"Everett, MA",0.219
25009260600,"Haverhill, MA",0.2188
25025170502,"Revere, MA",0.217
25017342202,"Everett, MA",0.2157
25017351204,"Ward Two, Somerville, MA",0.2149
25017342500,"Everett, MA",0.2105
25009260200,"Haverhill, MA",0.208
25017350104,"Somerville, MA",0.2064
25009260700,"Haverhill, MA",0.2053
25009205500,"Lynn, MA",0.2042
25009221400,"Gloucester, MA",0.2029
25017311300,"Highlands, Lowell, MA",0.2013
25009221600,"Gloucester, MA",0.1998
33015003400,"Derry, Derry, NH",0.1972
25025170400,"Revere, MA",0.1969
25009205600,"Lynn, MA",0.1934
25009210800,"Peabody, MA",0.1931
25017310300,"Centralville, Lowell, MA",0.1929
25025170702,"Revere, MA",0.1915
