"tract","Name","Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_pall"
25017310400,"Centralville, Lowell, MA",0.1503
25009251400,"Lawrence, MA",0.15
25025160501,"Chelsea, MA",0.1499
25009260800,"Haverhill, MA",0.1491
25009207100,"Lynn, MA",0.1491
25025160101,"Chelsea, MA",0.1459
25009251000,"Lawrence, MA",0.1433
25009207000,"Lynn, MA",0.1409
25017311100,"The Acre, Lowell, MA",0.1397
25009250200,"Lawrence, MA",0.1342
25009250600,"Lawrence, MA",0.1341
25009206200,"Lynn, MA",0.1336
25009250700,"Lawrence, MA",0.1323
25009206100,"Lynn, MA",0.1295
25009250500,"Lawrence, MA",0.1264
25025160200,"Chelsea, MA",0.123
25009206300,"Lynn, MA",0.1209
25009206000,"Lynn, MA",0.1205
25009251200,"Lawrence, MA",0.1152
25009250400,"Lawrence, MA",0.1082
25009204300,"The Point, Salem, MA",0.103
25009206800,"Lynn, MA",0.1028
25009260100,"Haverhill, MA",0.0873
25009250900,"Lawrence, MA",0.0814
25009251100,"Lawrence, MA",0.0712
25009250100,"Lawrence, MA",0.0672
25009251300,"Lawrence, MA",0.0648
25025981502,"Revere, MA",
